"order_month"|"year_month"|"order_year"|"order_month_num"|"provinsi"|"total_orders"|"total_revenue"|"avg_order_value"|"total_items"|"unique_customers"|"total_discount"|"discounted_orders"
"2023-12-01"|"2023-12"|2023|12|"BALI"|5|"325480.00"|"65096"|8|4|"0.00"|0
"2023-12-01"|"2023-12"|2023|12|"BANGKA BELITUNG"|2|"108120.00"|"54060"|7|2|"0.00"|0
"2023-12-01"|"2023-12"|2023|12|"BANTEN"|71|"4858344.00"|"68427"|210|8|"0.00"|0
"2023-12-01"|"2023-12"|2023|12|"BENGKULU"|1|"39520.00"|"39520"|1|1|"0.00"|0
"2023-12-01"|"2023-12"|2023|12|"DKI JAKARTA"|71|"5803294.00"|"81737"|142|5|"0.00"|0
"2023-12-01"|"2023-12"|2023|12|"JAMBI"|3|"159546.00"|"53182"|12|3|"0.00"|0
"2023-12-01"|"2023-12"|2023|12|"JAWA BARAT"|133|"7210264.00"|"54213"|290|23|"0.00"|0
"2023-12-01"|"2023-12"|2023|12|"JAWA TENGAH"|18|"1115169.00"|"61954"|49|14|"0.00"|0
"2023-12-01"|"2023-12"|2023|12|"JAWA TIMUR"|7|"342398.00"|"48914"|9|6|"0.00"|0
"2023-12-01"|"2023-12"|2023|12|"KALIMANTAN BARAT"|7|"919401.00"|"131343"|36|4|"0.00"|0
"2023-12-01"|"2023-12"|2023|12|"KALIMANTAN TENGAH"|3|"350283.00"|"116761"|12|3|"0.00"|0
"2023-12-01"|"2023-12"|2023|12|"KALIMANTAN TIMUR"|3|"515240.00"|"171747"|12|2|"0.00"|0
"2023-12-01"|"2023-12"|2023|12|"LAMPUNG"|3|"83640.00"|"27880"|3|2|"0.00"|0
"2023-12-01"|"2023-12"|2023|12|"NANGGROE ACEH DARUSSALAM (NAD)"|2|"87800.00"|"43900"|4|2|"0.00"|0
"2023-12-01"|"2023-12"|2023|12|"RIAU"|3|"280000.00"|"93333"|3|3|"0.00"|0
"2023-12-01"|"2023-12"|2023|12|"SULAWESI SELATAN"|3|"405000.00"|"135000"|3|3|"0.00"|0
"2023-12-01"|"2023-12"|2023|12|"SULAWESI TENGAH"|1|"121120.00"|"121120"|5|1|"0.00"|0
"2023-12-01"|"2023-12"|2023|12|"SUMATERA BARAT"|3|"229280.00"|"76427"|11|3|"0.00"|0
"2023-12-01"|"2023-12"|2023|12|"SUMATERA SELATAN"|10|"690504.00"|"69050"|17|2|"0.00"|0
"2023-12-01"|"2023-12"|2023|12|"SUMATERA UTARA"|3|"205722.00"|"68574"|7|2|"0.00"|0
"2024-01-01"|"2024-01"|2024|1|"BALI"|1|"89400.00"|"89400"|6|1|"0.00"|0
"2024-01-01"|"2024-01"|2024|1|"BANGKA BELITUNG"|1|"79000.00"|"79000"|5|1|"0.00"|0
"2024-01-01"|"2024-01"|2024|1|"BANTEN"|80|"3417376.00"|"42717"|147|7|"0.00"|0
"2024-01-01"|"2024-01"|2024|1|"BENGKULU"|2|"224106.00"|"112053"|8|2|"0.00"|0
"2024-01-01"|"2024-01"|2024|1|"DI YOGYAKARTA"|2|"84858.00"|"42429"|3|2|"0.00"|0
"2024-01-01"|"2024-01"|2024|1|"DKI JAKARTA"|79|"6905155.00"|"87407"|259|5|"0.00"|0
"2024-01-01"|"2024-01"|2024|1|"JAMBI"|4|"211538.00"|"52885"|8|4|"0.00"|0
"2024-01-01"|"2024-01"|2024|1|"JAWA BARAT"|134|"6757303.00"|"50428"|317|21|"0.00"|0
"2024-01-01"|"2024-01"|2024|1|"JAWA TENGAH"|11|"838486.00"|"76226"|39|9|"0.00"|0
"2024-01-01"|"2024-01"|2024|1|"JAWA TIMUR"|18|"1934886.00"|"107494"|51|15|"0.00"|0
"2024-01-01"|"2024-01"|2024|1|"KALIMANTAN BARAT"|3|"257880.00"|"85960"|6|3|"0.00"|0
"2024-01-01"|"2024-01"|2024|1|"KALIMANTAN SELATAN"|1|"111760.00"|"111760"|5|1|"0.00"|0
"2024-01-01"|"2024-01"|2024|1|"KALIMANTAN TENGAH"|1|"39000.00"|"39000"|2|1|"0.00"|0
"2024-01-01"|"2024-01"|2024|1|"KALIMANTAN TIMUR"|2|"177476.00"|"88738"|8|2|"0.00"|0
"2024-01-01"|"2024-01"|2024|1|"LAMPUNG"|1|"100840.00"|"100840"|7|1|"0.00"|0
"2024-01-01"|"2024-01"|2024|1|"NUSA TENGGARA BARAT (NTB)"|3|"372616.00"|"124205"|10|3|"0.00"|0
"2024-01-01"|"2024-01"|2024|1|"RIAU"|5|"656381.00"|"131276"|25|2|"0.00"|0
"2024-01-01"|"2024-01"|2024|1|"SULAWESI SELATAN"|2|"142200.00"|"71100"|3|2|"0.00"|0
"2024-01-01"|"2024-01"|2024|1|"SUMATERA BARAT"|6|"445366.00"|"74228"|19|4|"0.00"|0
"2024-01-01"|"2024-01"|2024|1|"SUMATERA SELATAN"|8|"1539570.00"|"192446"|136|5|"181500.00"|1
"2024-01-01"|"2024-01"|2024|1|"SUMATERA UTARA"|3|"107284.00"|"35761"|5|3|"0.00"|0
"2024-02-01"|"2024-02"|2024|2|"BALI"|1|"52752.00"|"52752"|4|1|"0.00"|0
